,기간자금설정,기간자금해지,증감
2018-12-11,"39,365","24,216","15,149"
2018-12-10,"18,700","28,600","-9,900"
2018-12-07,"41,303","75,696","-34,392"
2018-12-06,"23,253","33,821","-10,568"
2018-12-05,"29,872","18,483","11,389"
2018-12-04,"62,591","22,258","40,333"
2018-12-03,"28,037","21,195","6,842"
2018-11-30,"36,437","101,962","-65,526"
2018-11-29,"24,957","34,336","-9,379"
2018-11-28,"28,305","41,321","-13,016"
2018-11-27,"23,494","27,963","-4,469"
2018-11-26,"18,738","36,261","-17,523"
2018-11-23,"22,763","25,357","-2,594"
2018-11-22,"22,274","35,098","-12,824"
2018-11-21,"31,349","19,257","12,092"
2018-11-20,"24,999","41,747","-16,748"
2018-11-19,"26,450","26,266",184
2018-11-16,"57,617","37,757","19,860"
2018-11-15,"39,950","37,687","2,263"
2018-11-14,"22,077","20,984","1,093"
2018-11-13,"18,381","15,769","2,611"
2018-11-12,"20,505","21,423",-918
2018-11-09,"31,830","38,416","-6,586"
2018-11-08,"21,291","23,900","-2,609"
2018-11-07,"16,955","21,069","-4,114"
2018-11-06,"31,753","23,163","8,591"
2018-11-05,"58,836","29,634","29,202"
2018-11-02,"43,342","22,402","20,939"
2018-11-01,"33,678","20,804","12,874"
2018-10-31,"47,325","65,536","-18,211"
2018-10-30,"88,124","56,161","31,963"
2018-10-29,"32,295","19,505","12,790"
2018-10-26,"28,330","26,823","1,507"
2018-10-25,"29,655","34,178","-4,523"
2018-10-24,"22,666","34,877","-12,211"
2018-10-23,"24,998","19,231","5,767"
2018-10-22,"20,963","23,908","-2,945"
2018-10-19,"24,747","31,615","-6,868"
2018-10-18,"20,668","29,569","-8,901"
2018-10-17,"30,154","31,991","-1,837"
2018-10-16,"56,886","29,586","27,300"
2018-10-15,"33,069","33,273",-204
2018-10-12,"29,448","18,128","11,320"
2018-10-11,"19,696","24,002","-4,306"
2018-10-10,"26,377","28,570","-2,193"
2018-10-08,"39,080","19,095","19,985"
2018-10-05,"69,710","27,424","42,285"
2018-10-04,"64,407","27,235","37,172"
2018-10-02,"89,889","29,273","60,615"
2018-10-01,"60,295","27,455","32,840"
2018-09-28,"59,727","94,603","-34,876"
2018-09-27,"24,162","51,786","-27,624"
2018-09-21,"41,552","41,978",-426
2018-09-20,"23,410","73,333","-49,923"
2018-09-19,"30,926","56,431","-25,505"
2018-09-18,"25,134","34,602","-9,468"
2018-09-17,"20,559","39,174","-18,615"
2018-09-14,"47,113","45,885","1,229"
2018-09-13,"25,674","23,573","2,101"
2018-09-12,"24,244","33,208","-8,964"
2018-09-11,"48,017","28,845","19,172"
2018-09-10,"27,783","44,508","-16,724"
2018-09-07,"24,045","77,036","-52,992"
2018-09-06,"28,329","32,996","-4,667"
2018-09-05,"40,547","27,088","13,459"
